id	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	otherCatalogNumbers	higherClassification	kingdom	phylum	class	order	family	scientificName	taxonID	scientificNameAuthorship	genus	subgenus	specificEpithet	verbatimTaxonRank	infraspecificEpithet	taxonRank	identifiedBy	dateIdentified	identificationReferences	identificationRemarks	taxonRemarks	identificationQualifier	typeStatus	recordedBy	associatedCollectors	recordNumber	eventDate	year	month	day	startDayOfYear	endDayOfYear	verbatimEventDate	occurrenceRemarks	habitat	substrate	verbatimAttributes	fieldNumber	eventID	informationWithheld	dataGeneralizations	dynamicProperties	associatedOccurrences	associatedSequences	associatedTaxa	reproductiveCondition	establishmentMeans	cultivationStatus	lifeStage	sex	individualCount	preparations	country	stateProvince	county	municipality	locality	locationRemarks	localitySecurity	localitySecurityReason	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	verbatimCoordinates	georeferencedBy	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	verbatimElevation	disposition	language	recordEnteredBy	modified	sourcePrimaryKey-dbpk	collID	recordID	references
302093	ASU	ASUHIC		PreservedSpecimen	32fa21f4-8318-4058-ab70-a9a0706a7272	ASUHIC0028160		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Tenebrionidae|Coniontis	Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Coniontis lata	316875	LeConte, 1866	Coniontis		lata			Species	J. Doyen	1993						[Collector unknown]			1964-07-06	1964	7	6	188			found under rock																			United States	California	Ventura County		Top of Middle Anacapa Island		0		34.003796	-119.390425	WGS84	1500		Catherine Mercado		Google Earth	requires verification										camercad	2015-08-11 12:51:11	828400	1	urn:uuid:192aa8c0-7b55-4f43-bcbd-a009385dd723	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=302093
302094	ASU	ASUHIC		PreservedSpecimen	a2c9bfa6-79d4-41be-ad8d-a5c7bc5f9678	ASUHIC0028161		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Tenebrionidae|Coniontis	Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Coniontis lata	316875	LeConte, 1866	Coniontis		lata			Species	J. Doyen	1993						[Collector unknown]			1964-07-06	1964	7	6	188			found under rock																			United States	California	Ventura County		Top of Middle Anacapa Island		0		34.003796	-119.390425	WGS84	1500		Catherine Mercado		Google Earth	requires verification										camercad	2015-08-11 12:51:11	828401	1	urn:uuid:3b6fe243-e10b-45ba-a791-71a9bb9ec6cc	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=302094
302095	ASU	ASUHIC		PreservedSpecimen	f0b7fc85-01aa-4b51-a268-2e978fae40e1	ASUHIC0028162		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Tenebrionidae|Coniontis	Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Coniontis lata	316875	LeConte, 1866	Coniontis		lata			Species	J. Doyen	1993						[Collector unknown]			1964-07-18	1964	7	18	200			found under rock																			United States	California	Ventura County		Top of East Anacapa Island		0		34.013643	-119.37027	WGS84	1500		Catherine Mercado		Google Earth	requires verification										camercad	2015-08-11 12:51:11	828402	1	urn:uuid:821cdb26-9247-4663-90c7-c1823c2ed814	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=302095
302096	ASU	ASUHIC		PreservedSpecimen	03489e30-9bb7-49e8-9f1d-6b849ad95436	ASUHIC0028163		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Tenebrionidae|Coniontis	Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Coniontis lata	316875	LeConte, 1866	Coniontis		lata			Species	J. Doyen	1993						[Collector unknown]			1964-07-18	1964	7	18	200			found under rock																			United States	California	Ventura County		Top of East Anacapa Island		0		34.013643	-119.37027	WGS84	1500		Catherine Mercado		Google Earth	requires verification										camercad	2015-08-11 12:51:11	828403	1	urn:uuid:edf8c1c0-d89c-462d-8247-7b7fe8f13172	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=302096
302097	ASU	ASUHIC		PreservedSpecimen	bd6773d3-2673-4349-b13c-a8cbe83a5eba	ASUHIC0028164		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Tenebrionidae|Coniontis	Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Coniontis lata	316875	LeConte, 1866	Coniontis		lata			Species	J. Doyen	1993						[Collector unknown]			1964-07-18	1964	7	18	200			found under rock																			United States	California	Ventura County		Top of East Anacapa Island		0		34.013643	-119.37027	WGS84	1500		Catherine Mercado		Google Earth	requires verification										camercad	2015-08-11 12:51:11	828404	1	urn:uuid:31264e6e-6b39-422f-ab62-6970d04ef9b8	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=302097
302098	ASU	ASUHIC		PreservedSpecimen	ee2903c9-3677-48ad-af07-13b1b249c0f4	ASUHIC0028165		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Tenebrionidae|Coniontis	Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Coniontis lata	316875	LeConte, 1866	Coniontis		lata			Species	J. Doyen	1993						[Collector unknown]			1964-07-18	1964	7	18	200			found under rock																			United States	California	Ventura County		Top of East Anacapa Island		0		34.013643	-119.37027	WGS84	1500		Catherine Mercado		Google Earth	requires verification										camercad	2015-08-11 12:51:11	828405	1	urn:uuid:e06fbddf-56bc-493d-a16f-e45c227beae3	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=302098
302099	ASU	ASUHIC		PreservedSpecimen	8765c957-68d9-4e3b-b237-e140f1ef1ab8	ASUHIC0028166		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Tenebrionidae|Coniontis	Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Coniontis lata	316875	LeConte, 1866	Coniontis		lata			Species	J. Doyen	1993						[Collector unknown]			1964-07-18	1964	7	18	200			found under rock																			United States	California	Ventura County		Top of East Anacapa Island		0		34.013643	-119.37027	WGS84	1500		Catherine Mercado		Google Earth	requires verification										camercad	2015-08-11 12:51:11	828406	1	urn:uuid:d6575c78-5c69-401a-a505-9f4e5a965f68	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=302099
302100	ASU	ASUHIC		PreservedSpecimen	1db6d4a8-21f1-4a4a-9454-0dfe06883150	ASUHIC0028167		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Tenebrionidae|Coniontis	Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Coniontis lata	316875	LeConte, 1866	Coniontis		lata			Species	J. Doyen	1993						[Collector unknown]			1964-07-18	1964	7	18	200			found under rock																			United States	California	Ventura County		Top of East Anacapa Island		0		34.013643	-119.37027	WGS84	1500		Catherine Mercado		Google Earth	requires verification										camercad	2015-08-11 12:51:11	828407	1	urn:uuid:1467b6cf-c928-499b-8695-c786d2588c6c	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=302100
302101	ASU	ASUHIC		PreservedSpecimen	4466b669-2493-4287-af76-2f97c0b4d0b6	ASUHIC0028168		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Tenebrionidae|Coniontis	Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Coniontis lata	316875	LeConte, 1866	Coniontis		lata			Species	J. Doyen	1993						[Collector unknown]			1964-07-18	1964	7	18	200			found under rock																			United States	California	Ventura County		Top of East Anacapa Island		0		34.013643	-119.37027	WGS84	1500		Catherine Mercado		Google Earth	requires verification										camercad	2015-08-11 12:51:11	828408	1	urn:uuid:19ea54ed-d98c-40c7-ac57-c777e2fc7bb1	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=302101
302102	ASU	ASUHIC		PreservedSpecimen	c6bbc17e-578d-4069-b3e1-2f4b362944d3	ASUHIC0028169		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Tenebrionidae|Coniontis	Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Coniontis lata	316875	LeConte, 1866	Coniontis		lata			Species	J. Doyen	1993						[Collector unknown]			1964-07-18	1964	7	18	200			found under rock																			United States	California	Ventura County		Top of East Anacapa Island		0		34.013643	-119.37027	WGS84	1500		Catherine Mercado		Google Earth	requires verification										camercad	2015-08-11 12:51:11	828409	1	urn:uuid:94d166c7-6143-4a04-ab78-96d95041fa6a	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=302102
