id	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	otherCatalogNumbers	higherClassification	kingdom	phylum	class	order	family	scientificName	taxonID	scientificNameAuthorship	genus	subgenus	specificEpithet	verbatimTaxonRank	infraspecificEpithet	taxonRank	identifiedBy	dateIdentified	identificationReferences	identificationRemarks	taxonRemarks	identificationQualifier	typeStatus	recordedBy	associatedCollectors	recordNumber	eventDate	year	month	day	startDayOfYear	endDayOfYear	verbatimEventDate	occurrenceRemarks	habitat	substrate	verbatimAttributes	fieldNumber	eventID	informationWithheld	dataGeneralizations	dynamicProperties	associatedOccurrences	associatedSequences	associatedTaxa	reproductiveCondition	establishmentMeans	cultivationStatus	lifeStage	sex	individualCount	preparations	country	stateProvince	county	municipality	locality	locationRemarks	localitySecurity	localitySecurityReason	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	verbatimCoordinates	georeferencedBy	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	verbatimElevation	disposition	language	recordEnteredBy	modified	sourcePrimaryKey-dbpk	collID	recordID	references
320419	ASU	ASUHIC		PreservedSpecimen	8776f58c-8e8c-4418-9bfc-49d9e064c944	ASUHIC0047963		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Polyphaga|Scarabaeiformia|Scarabaeoidea|Scarabaeidae|Melolonthinae|Dichelonychini|Coenonycha	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Coenonycha clementina	276213	Casey, 1909	Coenonycha		clementina			Species	A.V. Evans	1982						A.V. Evans			1982-03-20	1982	3	20	79			found on Lotus argophyllus (A. Gray) Greene var. niveus (Greene) Ottley (santa cruz island silverhosackia) [USDA]																			United States	California	Los Angeles County		Eel Point, San Clemente Island		0		32.918024	-118.545846	WGS84	2000		David Fleming		Google Earth	requires verification										dflemin2	2015-08-11 12:51:11	1125728	1	urn:uuid:abb63756-2f13-4d03-b04e-aeee0d04b1fb	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=320419
320420	ASU	ASUHIC		PreservedSpecimen	c98c8e7d-29a5-4ff3-9d18-2afb2d0caabd	ASUHIC0047964		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Polyphaga|Scarabaeiformia|Scarabaeoidea|Scarabaeidae|Melolonthinae|Dichelonychini|Coenonycha	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Coenonycha clementina	276213	Casey, 1909	Coenonycha		clementina			Species	A.V. Evans	1982						A.V. Evans			1982-03-20	1982	3	20	79			found on Lotus argophyllus (A. Gray) Greene var. niveus (Greene) Ottley (santa cruz island silverhosackia) [USDA]																			United States	California	Los Angeles County		Eel Point, San Clemente Island		0		32.918024	-118.545846	WGS84	2000		David Fleming		Google Earth	requires verification										dflemin2	2015-08-11 12:51:11	1125729	1	urn:uuid:c9247012-9bfb-44e5-8bf0-1fefb8b17334	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=320420
427879	SBMNH	SBMNHENT		PreservedSpecimen	8840045a-a6f2-4d43-bea3-14726711ac0d	SBMNHENT0003395		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Pterostichini|Pterostichina	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Pterostichus	324	Bonelli, 1810	Pterostichus					Genus	Matthew Gimmel	2016						D.M. Power			1972-11-11	1972	11	11	316		1972-11-11																	unknown	1	Pinned	United States	California	Los Angeles County		San Clemente Island		0		32.9	-118.5																		2016-12-07 19:40:24	19887535	7	urn:uuid:22423893-8d52-478c-baf1-2987911ca577	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427879
427880	SBMNH	SBMNHENT		PreservedSpecimen	8e96a248-a7a9-4277-a82c-738b8a24c848	SBMNHENT0003396		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Pterostichini|Pterostichina	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Pterostichus	324	Bonelli, 1810	Pterostichus					Genus	Matthew Gimmel	2016									1939-11-04	1939	11	4	308		1939-11-4																	unknown	1	Pinned	United States	California	Los Angeles County		San Clemente Island, Mosquito Cove		0		32.8689	-118.4132																		2016-12-07 19:40:24	19887536	7	urn:uuid:fb6625d7-3d5c-4a08-8a76-416dd577b34a	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427880
427886	SBMNH	SBMNHENT		PreservedSpecimen	419614ca-3542-460f-8c81-67188ccff017	SBMNHENT0003402		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Pterostichini|Pterostichina	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Pterostichus	324	Bonelli, 1810	Pterostichus					Genus	Matthew Gimmel	2016						C. Henne			1941-02-23	1941	2	23	54		1941-2-23																	unknown	1	Pinned	United States	California	Los Angeles County		San Clemente Island		0		32.9	-118.5																		2016-12-07 19:40:24	19887542	7	urn:uuid:10355d9b-4094-4cdf-8c22-0b53f170917a	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427886
428001	SBMNH	SBMNHENT		PreservedSpecimen	ec67896e-d08d-4167-80b2-d5a7583414be	SBMNHENT0003517		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Carabinae|Carabini|Carabina|Calosoma|Carabosoma	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calosoma eremicola	1627	Fall, 1910	Calosoma	Carabosoma	eremicola			Species	Christopher Nagano							C. Henne			1962-06-01	1962	6	1	152		1962-6-1																	unknown	1	Pinned	United States	California	Los Angeles County		San Clemente Island		0		32.9	-118.5																		2016-02-18 19:10:04	19887657	7	urn:uuid:bd4246e3-24a4-4927-ae53-84592294617e	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428001
428054	SBMNH	SBMNHENT		PreservedSpecimen	74a5da90-6fa8-45e7-8ca4-9434c97a0053	SBMNHENT0003570		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Platynini|Platynina|Platynus|(Platynus)	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Platynus brunneomarginatus	2965	(Mannerheim, 1843)	Platynus	(Platynus)	brunneomarginatus			Species	Noonan										1939-04-04	1939	4	4	94		1939-4-4																	unknown	1	Pinned	United States	California	Los Angeles County		San Clemente Island		0		32.9	-118.5																		2017-01-31 19:36:16	19887710	7	urn:uuid:648cf86b-3879-4409-a4f9-f64d0038424a	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428054
428057	SBMNH	SBMNHENT		PreservedSpecimen	b72ddccc-ca50-4a56-a446-93e5b00fb3ba	SBMNHENT0003573		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Platynini|Platynina|Platynus|(Platynus)	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Platynus brunneomarginatus	2965	(Mannerheim, 1843)	Platynus	(Platynus)	brunneomarginatus			Species	Noonan										1939-04-04	1939	4	4	94		1939-4-4																	unknown	1	Pinned	United States	California	Los Angeles County		San Clemente Island		0		32.9	-118.5																		2017-01-31 19:36:16	19887713	7	urn:uuid:4b7f6acd-9583-48bc-9c4e-85e9a71172c8	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428057
428285	SBMNH	SBMNHENT		PreservedSpecimen	aa521ec1-1e1f-41f1-b995-542842c25243	SBMNHENT0003801		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Zabrini|Amarina|Amara|Bradytus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Amara insularis	863	Horn, 1875	Amara	Bradytus	insularis			Species	Matthew Gimmel	2021						von Bloeker			1939-07-05	1939	7	5	186		1939-7-5																	unknown	1	Pinned	United States	California	Los Angeles County		San Clemente Island		0		32.9	-118.5																		2017-07-05 09:14:22	19887941	7	urn:uuid:b69b08b6-50ec-4653-9edb-d599a56a32d8	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428285
428359	SBMNH	SBMNHENT		PreservedSpecimen	05a003de-ba41-455c-a174-ee64ae65e699	SBMNHENT0003875		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Polyphaga|Scarabaeiformia|Scarabaeoidea|Scarabaeidae|Dynastinae|Pentodontini|Tomarus	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Tomarus gibbosus	276731	(De Geer, 1774)	Tomarus		gibbosus			Species	unknown							Don Meadows			1939-05-15	1939	5	15	135		1939-5-15																	unknown	1	Pinned	United States	California	Los Angeles County		San Clemente Island		0		32.9	-118.5																		2016-01-30 20:41:25	19888015	7	urn:uuid:a013332f-80e1-43c3-98bd-1db1d0a1cf5d	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428359
