id	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	otherCatalogNumbers	higherClassification	kingdom	phylum	class	order	family	scientificName	taxonID	scientificNameAuthorship	genus	subgenus	specificEpithet	verbatimTaxonRank	infraspecificEpithet	taxonRank	identifiedBy	dateIdentified	identificationReferences	identificationRemarks	taxonRemarks	identificationQualifier	typeStatus	recordedBy	associatedCollectors	recordNumber	eventDate	year	month	day	startDayOfYear	endDayOfYear	verbatimEventDate	occurrenceRemarks	habitat	substrate	verbatimAttributes	fieldNumber	eventID	informationWithheld	dataGeneralizations	dynamicProperties	associatedOccurrences	associatedSequences	associatedTaxa	reproductiveCondition	establishmentMeans	cultivationStatus	lifeStage	sex	individualCount	preparations	country	stateProvince	county	municipality	locality	locationRemarks	localitySecurity	localitySecurityReason	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	verbatimCoordinates	georeferencedBy	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	verbatimElevation	disposition	language	recordEnteredBy	modified	sourcePrimaryKey-dbpk	collID	recordID	references
427871	SBMNH	SBMNHENT		PreservedSpecimen	d23c4f4f-7764-4207-802e-e29aaabcf939	SBMNHENT0003387		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Pterostichini|Pterostichina	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Pterostichus	324	Bonelli, 1810	Pterostichus					Genus	Michael Caterino	2006						F.G. Hochberg, Jr.			1976-05-10	1976	5	10	131		1976-5-10																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; San Miguel Island, San Miguel Mt.		0		34.0341	-120.3666																		2016-12-07 19:40:24	19887527	7	urn:uuid:0271c9de-5002-4c08-88e4-83d823a60a91	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427871
427877	SBMNH	SBMNHENT		PreservedSpecimen	079f98e2-3331-44cb-bea4-b977eae560ae	SBMNHENT0003393		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Pterostichini|Pterostichina	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Pterostichus	324	Bonelli, 1810	Pterostichus					Genus	Michael Caterino	2006									1939-07-29	1939	7	29	210		1939-7-29																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; San Miguel Island		0		34.0417	-120.3538																		2016-12-07 19:40:24	19887533	7	urn:uuid:5be95c60-9c52-4a04-ba5e-9b76e13abfb7	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427877
427952	SBMNH	SBMNHENT		PreservedSpecimen	dc2040b3-e714-48fc-8101-18da811a4dfa	SBMNHENT0003468		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Scaritinae|Dyschiriini|Akephorus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Akephorus marinus	482352	Leconte, 1852	Akephorus		marinus			Species	unknown							Lloyd Martin			1939-08-01	1939	8	1	213		1939-8-1																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; San Miguel Island		0		34.0417	-120.3538																		2016-01-30 20:41:25	19887608	7	urn:uuid:66bb6d0f-0bd4-4ed9-803a-863a9071184b	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427952
427954	SBMNH	SBMNHENT		PreservedSpecimen	8aa5432f-8170-4f02-aeb2-ba1ebda6a8e1	SBMNHENT0003470		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Scaritinae|Dyschiriini|Akephorus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Akephorus marinus	482352	Leconte, 1852	Akephorus		marinus			Species	unknown							Lloyd Martin			1939-08-01	1939	8	1	213		1939-8-1																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; San Miguel Island		0		34.0417	-120.3538																		2016-01-30 20:41:25	19887610	7	urn:uuid:04a00125-642d-4bde-ae3c-ac78fb562d52	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427954
427960	SBMNH	SBMNHENT		PreservedSpecimen	1bc57a06-bd3a-4e65-baf6-8525df2c7a3f	SBMNHENT0003476		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Sphodrini|Calathina|Calathus|Neocalathus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calathus ruficollis	1604	Dejean, 1828	Calathus	Neocalathus	ruficollis			Species	unknown							S.E. Miller			1977-05-20	1977	5	20	140		1977-5-20																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; San Miguel Island, West End		0		34.0404	-120.4214																		2016-02-18 19:10:04	19887616	7	urn:uuid:29e676ac-73b9-4437-a2a9-87d6eeb7185e	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427960
427963	SBMNH	SBMNHENT		PreservedSpecimen	f2525001-5783-40c7-a94a-ab8b843192a1	SBMNHENT0003479		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Sphodrini|Calathina|Calathus|Neocalathus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calathus ruficollis	1604	Dejean, 1828	Calathus	Neocalathus	ruficollis			Species	unknown										1939-07-29	1939	7	29	210		1939-7-29																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; San Miguel Island		0		34.0417	-120.3538																		2016-02-18 19:10:04	19887619	7	urn:uuid:9924799e-2e6e-4de9-a167-46690c11196d	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427963
427965	SBMNH	SBMNHENT		PreservedSpecimen	582d9957-f344-4d69-8226-03f37e70997e	SBMNHENT0003481		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Sphodrini|Calathina|Calathus|Neocalathus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calathus ruficollis	1604	Dejean, 1828	Calathus	Neocalathus	ruficollis			Species	unknown							S.E. Miller & M. Emerson			1979-04-26	1979	4	26	116		1979-4-26																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; San Miguel Island, San Miguel Hill		0		34.0341	-120.3666									253					830ft				2016-02-19 01:05:43	19887621	7	urn:uuid:54f92b94-60e9-44db-898d-1df21beb7ffe	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427965
427967	SBMNH	SBMNHENT		PreservedSpecimen	03da89f3-b08d-4ebd-99e4-7eec047df9ed	SBMNHENT0003483		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Sphodrini|Calathina|Calathus|Neocalathus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calathus ruficollis	1604	Dejean, 1828	Calathus	Neocalathus	ruficollis			Species	unknown							S.E. Miller			1978-08-29	1978	8	29	241		1978-8-29																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; San Miguel Island, San Miguel Peak		0		34.0341	-120.3666																		2016-02-18 19:10:04	19887623	7	urn:uuid:1b8cbe76-fd67-4f13-8144-baf295465d61	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427967
427971	SBMNH	SBMNHENT		PreservedSpecimen	82408cb5-2159-4231-963d-1bb71f3b7111	SBMNHENT0003487		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Sphodrini|Calathina|Calathus|Neocalathus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calathus ruficollis	1604	Dejean, 1828	Calathus	Neocalathus	ruficollis			Species	unknown							S.E. Miller			1978-08-29	1978	8	29	241		1978-8-29																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; San Miguel Island, San Miguel Peak		0		34.0341	-120.3666																		2016-02-18 19:10:04	19887627	7	urn:uuid:2b39b530-7912-4a39-8642-8edcca24ac06	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427971
427972	SBMNH	SBMNHENT		PreservedSpecimen	37f2bc8d-1f06-4ca3-9d6c-e4104036481f	SBMNHENT0003488		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Sphodrini|Calathina|Calathus|Neocalathus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calathus ruficollis	1604	Dejean, 1828	Calathus	Neocalathus	ruficollis			Species	unknown							S.E. Miller & M. Emerson			1979-04-26	1979	4	26	116		1979-4-26																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; San Miguel Island, San Miguel Hill		0		34.0341	-120.3666									253					830ft				2016-02-19 01:05:43	19887628	7	urn:uuid:9e80c503-30f6-48b9-a6d9-5f81ad1221dc	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427972
