id	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	otherCatalogNumbers	higherClassification	kingdom	phylum	class	order	family	scientificName	taxonID	scientificNameAuthorship	genus	subgenus	specificEpithet	verbatimTaxonRank	infraspecificEpithet	taxonRank	identifiedBy	dateIdentified	identificationReferences	identificationRemarks	taxonRemarks	identificationQualifier	typeStatus	recordedBy	associatedCollectors	recordNumber	eventDate	year	month	day	startDayOfYear	endDayOfYear	verbatimEventDate	occurrenceRemarks	habitat	substrate	verbatimAttributes	fieldNumber	eventID	informationWithheld	dataGeneralizations	dynamicProperties	associatedOccurrences	associatedSequences	associatedTaxa	reproductiveCondition	establishmentMeans	cultivationStatus	lifeStage	sex	individualCount	preparations	country	stateProvince	county	municipality	locality	locationRemarks	localitySecurity	localitySecurityReason	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	verbatimCoordinates	georeferencedBy	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	verbatimElevation	disposition	language	recordEnteredBy	modified	sourcePrimaryKey-dbpk	collID	recordID	references
427881	SBMNH	SBMNHENT		PreservedSpecimen	928e179b-2c44-43c3-bb7e-59f80f6a34a8	SBMNHENT0003397		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Sphodrini|Sphodrina|Laemostenus|(Laemostenus)	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Laemostenus complanatus	325035	(Dejean, 1828)	Laemostenus	(Laemostenus)	complanatus			Species	David Kavanaugh							S. E. Miller			1980-10-19	1980	10	19	293		1980-10-19																	unknown	1	Pinned	United States	California	Ventura County		San Nicolas Island, pumping sta., abt. 1 mi. SSEof 1000 Springs		0		33.270463	-119.520627		365		mgimmel (2016-12-02 22:52:32)		georef batch tool 2016-12-02; GeoLocate	reviewed - high confidence		122					400ft				2018-10-17 07:44:00	19887537	7	urn:uuid:b7ef9f6a-46dc-46bb-9e12-acc3eb5488cc	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427881
428292	SBMNH	SBMNHENT		PreservedSpecimen	99cc113c-2406-48cf-9d63-e325d387e8ea	SBMNHENT0003808		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Zabrini|Amarina|Amara|Bradytus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Amara insularis	863	Horn, 1875	Amara	Bradytus	insularis			Species	Matthew Gimmel	2021						G.P. Kanakoff			1939-07-26	1939	7	26	207		1939-7-26																	unknown	1	Pinned	United States	California	Ventura County		San Nicolas Island		0		33.2456	-119.4981																		2017-07-05 09:14:22	19887948	7	urn:uuid:5351bec8-cd89-45ef-8587-20eec9966278	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428292
428296	SBMNH	SBMNHENT		PreservedSpecimen	776abaa3-6f41-45c5-a552-cdb593d059d6	SBMNHENT0003812		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Zabrini|Amarina	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Amara	83	Bonelli, 1810	Amara					Genus	Michael Caterino	2006						S.E. Miller &P.M. Mercer			1980-06-06	1980	6	6	158		1980-6-6																	unknown	1	Pinned	United States	California	Ventura County		San Nicolas Island, barracks area		0		33.255176	-119.48578		482		mgimmel (2016-12-02 22:47:47)		georef batch tool 2016-12-02; GeoLocate	reviewed - high confidence		130					425ft				2017-07-05 09:14:22	19887952	7	urn:uuid:ea755c8b-8f29-4a98-92f4-a802123b98ea	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428296
428309	SBMNH	SBMNHENT		PreservedSpecimen	ae7f74fa-5c0a-47e3-ab1a-ed5a0f107fc0	SBMNHENT0003825		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Zabrini|Amarina|Amara|Bradytus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Amara insularis	863	Horn, 1875	Amara	Bradytus	insularis			Species	Matthew Gimmel	2021						J.C. vonBloeker			1939-07-23	1939	7	23	204		1939-7-23																	unknown	1	Pinned	United States	California	Ventura County		San Nicolas Island		0		33.2456	-119.4981																		2017-07-05 09:14:22	19887965	7	urn:uuid:3865bd19-af4a-4283-b7e7-37590465e466	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428309
428353	SBMNH	SBMNHENT		PreservedSpecimen	6f57b589-e77c-4e0a-8a2f-e846db6ec6c7	SBMNHENT0003869		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Polyphaga|Scarabaeiformia|Scarabaeoidea|Scarabaeidae|Aphodiinae|Aphodiini|Planolinellus	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Planolinellus vittatus	274989	(Say, 1825)	Planolinellus		vittatus			Species	Nomenclatural Adjustment	February 27, 2017						J.C. vonBloeker			1939-07-25	1939	7	25	206		1939-7-25																	unknown	1	Pinned	United States	California	Ventura County		San Nicolas Island		0		33.2456	-119.4981																		2017-02-27 18:07:20	19888009	7	urn:uuid:efdea8cc-ac15-4392-8034-b30239296037	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428353
428356	SBMNH	SBMNHENT		PreservedSpecimen	e0ad91b0-52d4-43dc-bf51-c7f4772580ef	SBMNHENT0003872		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Polyphaga|Scarabaeiformia|Scarabaeoidea|Scarabaeidae|Aphodiinae|Aphodiini|Calamosternus	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Calamosternus granarius	274965	(Linnaeus, 1767)	Calamosternus		granarius			Species	Nomenclatural Adjustment	February 27, 2017						G.P. Kanakoff			1940-12-10	1940	12	10	345		1940-12-10																	unknown	1	Pinned	United States	California	Ventura County		San Nicolas Island		0		33.2456	-119.4981																		2017-02-27 17:36:13	19888012	7	urn:uuid:eff10b2e-1a81-478c-b925-100b19117d4e	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428356
428361	SBMNH	SBMNHENT		PreservedSpecimen	76f9153f-5156-4bec-9509-0f53311f3d47	SBMNHENT0003877		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Polyphaga|Scarabaeiformia|Scarabaeoidea|Scarabaeidae|Dynastinae|Pentodontini|Tomarus	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Tomarus gibbosus	276731	(De Geer, 1774)	Tomarus		gibbosus			Species	unknown										1939-07-25	1939	7	25	206		1939-7-25																	unknown	1	Pinned	United States	California	Ventura County		San Nicolas Island		0		33.2456	-119.4981																		2016-01-30 20:41:25	19888017	7	urn:uuid:f999d740-83d2-4ad4-8916-702df147b8b5	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428361
428370	SBMNH	SBMNHENT		PreservedSpecimen	da981003-dceb-4040-bab6-909bb59772c8	SBMNHENT0003886		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Polyphaga|Scarabaeiformia|Scarabaeoidea|Scarabaeidae|Melolonthinae|Pachydemini	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Phobetus	276203	LeConte, 1856	Phobetus					Genus	Matthew Gimmel	2021						C. Henne			1940-11-27	1940	11	27	332		1940-11-27																	unknown	1	Pinned	United States	California	Ventura County		San Nicolas Island		0		33.2456	-119.4981																		2016-02-18 19:10:04	19888026	7	urn:uuid:32f19bac-49bc-463f-b529-c099e7ec8823	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428370
428371	SBMNH	SBMNHENT		PreservedSpecimen	f961b3cd-fba6-40c3-8055-302ffff86581	SBMNHENT0003887		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Polyphaga|Scarabaeiformia|Scarabaeoidea|Scarabaeidae|Melolonthinae|Pachydemini	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Phobetus	276203	LeConte, 1856	Phobetus					Genus	Matthew Gimmel	2021						J.C. vonBloeker			1940-12-10	1940	12	10	345		1940-12-10																	male	1	Pinned	United States	California	Ventura County		San Nicolas Island		0		33.2456	-119.4981																		2016-02-18 19:10:04	19888027	7	urn:uuid:9c6ff6db-a697-4c0a-9028-960a0eb60101	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428371
428373	SBMNH	SBMNHENT		PreservedSpecimen	400927a6-a832-41b2-9209-10a7684ea63c	SBMNHENT0003889		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Polyphaga|Scarabaeiformia|Scarabaeoidea|Scarabaeidae|Melolonthinae|Pachydemini	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Phobetus	276203	LeConte, 1856	Phobetus					Genus	Matthew Gimmel	2021						C. Henne			1940-11-28	1940	11	28	333		1940-11-28																	unknown	1	Pinned	United States	California	Ventura County		San Nicolas Island		0		33.2456	-119.4981																		2016-02-18 19:10:04	19888029	7	urn:uuid:d1429667-b66d-4388-961b-7bb8dfad2534	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428373
