id	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	otherCatalogNumbers	higherClassification	kingdom	phylum	class	order	family	scientificName	taxonID	scientificNameAuthorship	genus	subgenus	specificEpithet	verbatimTaxonRank	infraspecificEpithet	taxonRank	identifiedBy	dateIdentified	identificationReferences	identificationRemarks	taxonRemarks	identificationQualifier	typeStatus	recordedBy	associatedCollectors	recordNumber	eventDate	year	month	day	startDayOfYear	endDayOfYear	verbatimEventDate	occurrenceRemarks	habitat	substrate	verbatimAttributes	fieldNumber	eventID	informationWithheld	dataGeneralizations	dynamicProperties	associatedOccurrences	associatedSequences	associatedTaxa	reproductiveCondition	establishmentMeans	cultivationStatus	lifeStage	sex	individualCount	preparations	country	stateProvince	county	municipality	locality	locationRemarks	localitySecurity	localitySecurityReason	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	verbatimCoordinates	georeferencedBy	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	verbatimElevation	disposition	language	recordEnteredBy	modified	sourcePrimaryKey-dbpk	collID	recordID	references
428282	SBMNH	SBMNHENT		PreservedSpecimen	6bff70fe-b385-43cd-a64c-8ea6ae69d166	SBMNHENT0003798		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Zabrini|Amarina|Amara|Bradytus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Amara insularis	863	Horn, 1875	Amara	Bradytus	insularis			Species	Matthew Gimmel	2021						J. vonBloeker			1939-05-30	1939	5	30	150		1939-5-30																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; Santa Barbara Island		0		33.4743	-119.037																		2017-07-05 09:14:22	19887938	7	urn:uuid:c378b607-d712-46fe-9984-fd5408eee26e	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428282
428283	SBMNH	SBMNHENT		PreservedSpecimen	feb1ca9d-19cf-4de2-a808-194d3096ba76	SBMNHENT0003799		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Zabrini|Amarina|Amara|Bradytus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Amara insularis	863	Horn, 1875	Amara	Bradytus	insularis			Species	Matthew Gimmel	2021									1975-09-18	1975	9	18	261		1975-9-18																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; Santa Barbara Island		0		33.4743	-119.037																		2017-07-05 09:14:22	19887939	7	urn:uuid:44c18c8e-a61c-4de1-9b17-d02115d9f57a	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428283
428284	SBMNH	SBMNHENT		PreservedSpecimen	d5e00f13-b8fe-4c1f-9c31-03971d1ea0dd	SBMNHENT0003800		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Zabrini|Amarina|Amara|Bradytus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Amara insularis	863	Horn, 1875	Amara	Bradytus	insularis			Species	Matthew Gimmel	2021						S.E. Miller			1978-09-18	1978	9	18	261		1978-9-18																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; Santa Barbara Island		0		33.4743	-119.037																		2017-07-05 09:14:22	19887940	7	urn:uuid:c1232a3a-f821-426c-8f31-5166ac1232fd	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428284
428287	SBMNH	SBMNHENT		PreservedSpecimen	5c5236a8-81b2-4a57-932a-947b693f6231	SBMNHENT0003803		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Zabrini|Amarina|Amara|Bradytus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Amara insularis	863	Horn, 1875	Amara	Bradytus	insularis			Species	Matthew Gimmel	2021						S.E. Miller			1978-09-19	1978	9	19	262		1978-9-19																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; Santa Barbara Island		0		33.4743	-119.037																		2017-07-05 09:14:22	19887943	7	urn:uuid:2ca4acb3-482d-4e60-811f-7f075be4623a	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428287
428288	SBMNH	SBMNHENT		PreservedSpecimen	9bf0d186-5714-49ae-a243-a320a75b69fa	SBMNHENT0003804		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Zabrini|Amarina|Amara|Bradytus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Amara insularis	863	Horn, 1875	Amara	Bradytus	insularis			Species	Matthew Gimmel	2021						Scott E. Miller			1979-04-02	1979	4	2	92		1979-4-2																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; Santa Barbara Island		0		33.4743	-119.037																		2017-07-05 09:14:22	19887944	7	urn:uuid:efb92715-3952-438c-8e2f-50e15dbbdab2	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428288
428289	SBMNH	SBMNHENT		PreservedSpecimen	3f4aa5bb-35d6-419b-a0c2-dd8e72441b49	SBMNHENT0003805		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Zabrini|Amarina|Amara|Bradytus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Amara insularis	863	Horn, 1875	Amara	Bradytus	insularis			Species	Matthew Gimmel	2021						Scott E. Miller			1979-04-02	1979	4	2	92		1979-4-2																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; Santa Barbara Island		0		33.4743	-119.037																		2017-07-05 09:14:22	19887945	7	urn:uuid:904605e5-b55b-4eca-8960-84fcdff9dda3	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428289
428290	SBMNH	SBMNHENT		PreservedSpecimen	361c2bce-3cf1-47af-9760-be65ab1389c3	SBMNHENT0003806		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Zabrini|Amarina|Amara|Bradytus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Amara insularis	863	Horn, 1875	Amara	Bradytus	insularis			Species	Matthew Gimmel	2021						J.C. Trager			1978-06-11	1978	6	11	162		1978-6-11																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; Santa Barbara Island		0		33.4743	-119.037																		2017-07-05 09:14:22	19887946	7	urn:uuid:53111a86-e0b0-4320-a5da-00c0944396a4	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428290
428293	SBMNH	SBMNHENT		PreservedSpecimen	fa78c499-578d-4294-9044-5f902977b190	SBMNHENT0003809		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Zabrini|Amarina|Amara|Bradytus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Amara insularis	863	Horn, 1875	Amara	Bradytus	insularis			Species	Matthew Gimmel	2021						S.E. Miller			1978-09-21	1978	9	21	264		1978-9-21																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; Santa Barbara Island		0		33.4743	-119.037																		2017-07-05 09:14:22	19887949	7	urn:uuid:91d57b1a-35f1-462f-b2cc-7d42a6c72faa	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428293
428294	SBMNH	SBMNHENT		PreservedSpecimen	dfccd547-c51c-4732-abd5-6faa174b1d7f	SBMNHENT0003810		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Zabrini|Amarina|Amara|Bradytus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Amara insularis	863	Horn, 1875	Amara	Bradytus	insularis			Species	Matthew Gimmel	2021						Scott E. Miller			1979-04-02	1979	4	2	92		1979-4-2																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; Santa Barbara Island		0		33.4743	-119.037																		2017-07-05 09:14:22	19887950	7	urn:uuid:20a0763e-f71b-4d2f-97ee-65826aa108c1	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428294
428295	SBMNH	SBMNHENT		PreservedSpecimen	f75198f3-f0de-45e2-947b-4d975572cb1f	SBMNHENT0003811		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Zabrini|Amarina|Amara|Bradytus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Amara insularis	863	Horn, 1875	Amara	Bradytus	insularis			Species	Matthew Gimmel	2021						Scott E. Miller			1979-04-02	1979	4	2	92		1979-4-2																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; Santa Barbara Island		0		33.4743	-119.037																		2017-07-05 09:14:22	19887951	7	urn:uuid:d9501336-b0a0-4e01-b673-b6c3ebfb8b0c	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=428295
