id	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	otherCatalogNumbers	higherClassification	kingdom	phylum	class	order	family	scientificName	taxonID	scientificNameAuthorship	genus	subgenus	specificEpithet	verbatimTaxonRank	infraspecificEpithet	taxonRank	identifiedBy	dateIdentified	identificationReferences	identificationRemarks	taxonRemarks	identificationQualifier	typeStatus	recordedBy	associatedCollectors	recordNumber	eventDate	year	month	day	startDayOfYear	endDayOfYear	verbatimEventDate	occurrenceRemarks	habitat	substrate	verbatimAttributes	fieldNumber	eventID	informationWithheld	dataGeneralizations	dynamicProperties	associatedOccurrences	associatedSequences	associatedTaxa	reproductiveCondition	establishmentMeans	cultivationStatus	lifeStage	sex	individualCount	preparations	country	stateProvince	county	municipality	locality	locationRemarks	localitySecurity	localitySecurityReason	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	verbatimCoordinates	georeferencedBy	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	verbatimElevation	disposition	language	recordEnteredBy	modified	sourcePrimaryKey-dbpk	collID	recordID	references
320431	ASU	ASUHIC		PreservedSpecimen	17abc729-244b-415f-9730-126a089b2f6c	ASUHIC0047975		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Polyphaga|Scarabaeiformia|Scarabaeoidea|Scarabaeidae|Melolonthinae|Dichelonychini|Coenonycha	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Coenonycha fulva	276216	McClay, 1943	Coenonycha		fulva			Species	A.V. Evans	1983						A.V. Evans	C. Nagano, L. Herbrandson		1980-03-21	1980	3	21	81		1980-03-21 to 1980-03-22																				United States	California	Los Angeles County		Fourth of July Cove, Santa Catalina Island		0		33.342819	-118.328228	WGS84	2000		David Fleming		Google Earth	requires verification										dflemin2	2015-08-11 12:51:11	1125795	1	urn:uuid:60baae75-0327-4bbd-8d88-7e4d47da0b5e	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=320431
320432	ASU	ASUHIC		PreservedSpecimen	034ca5fa-d45a-4f1c-81e9-6092e5654af8	ASUHIC0047976		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Polyphaga|Scarabaeiformia|Scarabaeoidea|Scarabaeidae|Melolonthinae|Dichelonychini|Coenonycha	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Coenonycha fulva	276216	McClay, 1943	Coenonycha		fulva			Species	A.V. Evans	1983						A.V. Evans	C. Nagano, L. Herbrandson		1980-03-21	1980	3	21	81		1980-03-21 to 1980-03-22																	female			United States	California	Los Angeles County		Fourth of July Cove, Santa Catalina Island		0		33.342819	-118.328228	WGS84	2000		David Fleming		Google Earth	requires verification										dflemin2	2015-08-11 12:51:11	1125796	1	urn:uuid:d34c282d-5a6e-47f2-9378-0d272f9d6493	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=320432
427874	SBMNH	SBMNHENT		PreservedSpecimen	f232683d-69df-467a-8006-997c583f86a5	SBMNHENT0003390		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Pterostichini|Pterostichina	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Pterostichus	324	Bonelli, 1810	Pterostichus					Genus	Matthew Gimmel	2016						S.E. Miller et al.			1981-02-20	1981	2	20	51		1981-2-20																	unknown	1	Pinned	United States	California	Los Angeles County		Santa Catalina Island, Fisherman's Cove, Cyn above USC Sta.		0		33.4442	-118.4818																		2016-12-07 19:40:24	19887530	7	urn:uuid:3bc197c9-c56b-4b50-904a-387e4d246af8	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427874
427878	SBMNH	SBMNHENT		PreservedSpecimen	ff9b875d-0d43-459c-b695-7de768f17845	SBMNHENT0003394		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Pterostichini|Pterostichina	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Pterostichus	324	Bonelli, 1810	Pterostichus					Genus	Matthew Gimmel	2016						S.E. Miller et al.			1981-02-20	1981	2	20	51		1981-2-20																	unknown	1	Pinned	United States	California	Los Angeles County		Santa Catalina Island, Fisherman's Cove, Cyn above USC Sta.		0		33.4442	-118.4818																		2016-12-07 19:40:24	19887534	7	urn:uuid:1569a63e-0634-43b9-94de-d547b509c409	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427878
427889	SBMNH	SBMNHENT		PreservedSpecimen	ef942fa4-881c-4f8c-ae37-983c26311767	SBMNHENT0003405		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Pterostichini|Pterostichina	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Pterostichus	324	Bonelli, 1810	Pterostichus					Genus	Matthew Gimmel	2016						S.E. Miller et al.			1981-02-20	1981	2	20	51		1981-2-20																	unknown	1	Pinned	United States	California	Los Angeles County		Santa Catalina Island, Fisherman's Cove, Cyn above USC Sta.		0		33.4442	-118.4818																		2016-12-07 19:40:24	19887545	7	urn:uuid:5e4ed041-fcde-4f1c-99c9-364ba6cfc694	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427889
427890	SBMNH	SBMNHENT		PreservedSpecimen	21d8368c-51c4-4fb5-b4ad-ec20468d1830	SBMNHENT0003406		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Pterostichinae|Pterostichini|Pterostichina	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Pterostichus	324	Bonelli, 1810	Pterostichus					Genus	Matthew Gimmel	2016						S.E. Miller et al.			1981-02-20	1981	2	20	51		1981-2-20																	unknown	1	Pinned	United States	California	Los Angeles County		Santa Catalina Island, Fisherman's Cove, Cyn above USC Sta.		0		33.4442	-118.4818																		2016-12-07 19:40:24	19887546	7	urn:uuid:d18427dc-2879-40b6-b68e-a1fd3c0d1400	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427890
427927	SBMNH	SBMNHENT		PreservedSpecimen	c55ae665-0181-4a23-84d0-1eae9f5974bb	SBMNHENT0003443		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Sphodrini|Calathina|Calathus|Neocalathus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calathus ruficollis	1604	Dejean, 1828	Calathus	Neocalathus	ruficollis			Species	David Kavanaugh							C.D. Nagano			1980-03-29	1980	3	29	89		1980-3-29																	unknown	1	Pinned	United States	California	Los Angeles County		Santa Catalina Island, Twin Harbors		0		33.44	-118.4984																		2016-02-18 19:10:04	19887583	7	urn:uuid:d42bc57b-3ccc-42ad-9acb-086830bb5f2d	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427927
427983	SBMNH	SBMNHENT		PreservedSpecimen	229b3fd5-d0e3-4b11-a3fa-3deee0bdb7a1	SBMNHENT0003499		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Sphodrini|Calathina|Calathus|Neocalathus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calathus ruficollis	1604	Dejean, 1828	Calathus	Neocalathus	ruficollis			Species	David Kavanaugh							S.E. Miller et al.			1981-02-20	1981	2	20	51		1981-2-20																	unknown	1	Pinned	United States	California	Los Angeles County		Santa Catalina Island, Fisherman's Cove, Cyn above USC Sta.		0		33.4442	-118.4818																		2016-02-18 19:10:04	19887639	7	urn:uuid:f7fb445c-71cc-4856-84f1-f3e5e62b4494	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427983
427984	SBMNH	SBMNHENT		PreservedSpecimen	58099106-8066-4c45-9fee-0417420c63de	SBMNHENT0003500		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Sphodrini|Calathina|Calathus|Neocalathus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calathus ruficollis	1604	Dejean, 1828	Calathus	Neocalathus	ruficollis			Species	David Kavanaugh							S.E. Miller et al.			1981-02-20	1981	2	20	51		1981-2-20																	unknown	1	Pinned	United States	California	Los Angeles County		Santa Catalina Island, Fisherman's Cove, Cyn above USC Sta.		0		33.4442	-118.4818																		2016-02-18 19:10:04	19887640	7	urn:uuid:9e2f6e32-7882-4a58-af5b-9e6baee40f9c	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427984
427986	SBMNH	SBMNHENT		PreservedSpecimen	2e8b5055-fb52-41db-a8ca-08d6a599aa66	SBMNHENT0003502		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Sphodrini|Calathina|Calathus|Neocalathus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calathus ruficollis	1604	Dejean, 1828	Calathus	Neocalathus	ruficollis			Species	David Kavanaugh							S.E. Miller et al.			1981-02-20	1981	2	20	51		1981-2-20																	unknown	1	Pinned	United States	California	Los Angeles County		Santa Catalina Island, Fisherman's Cove, Cyn above USC Sta.		0		33.4442	-118.4818																		2016-02-18 19:10:04	19887642	7	urn:uuid:4590d9b9-6598-4739-91ca-6fffe6a903d1	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427986
427987	SBMNH	SBMNHENT		PreservedSpecimen	e64f64a0-90e5-4f82-a0d0-7d4f4657fcdd	SBMNHENT0003503		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Sphodrini|Calathina|Calathus|Neocalathus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calathus ruficollis	1604	Dejean, 1828	Calathus	Neocalathus	ruficollis			Species	David Kavanaugh							S.E. Miller et al.			1981-02-20	1981	2	20	51		1981-2-20																	unknown	1	Pinned	United States	California	Los Angeles County		Santa Catalina Island, Fisherman's Cove, Cyn above USC Sta.		0		33.4442	-118.4818																		2016-02-18 19:10:04	19887643	7	urn:uuid:7ffeda2a-897a-486d-9248-e34720d74db3	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427987
427988	SBMNH	SBMNHENT		PreservedSpecimen	2b5bdd6d-921d-4054-88b8-f15afb96dc17	SBMNHENT0003504		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Sphodrini|Calathina|Calathus|Neocalathus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calathus ruficollis	1604	Dejean, 1828	Calathus	Neocalathus	ruficollis			Species	David Kavanaugh							S.E. Miller et al.			1981-02-20	1981	2	20	51		1981-2-20																	unknown	1	Pinned	United States	California	Los Angeles County		Santa Catalina Island, Fisherman's Cove, Cyn above USC Sta.		0		33.4442	-118.4818																		2016-02-18 19:10:04	19887644	7	urn:uuid:fc2e2807-ad64-4823-9598-5132e4caabce	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427988
