id	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	otherCatalogNumbers	higherClassification	kingdom	phylum	class	order	family	scientificName	taxonID	scientificNameAuthorship	genus	subgenus	specificEpithet	verbatimTaxonRank	infraspecificEpithet	taxonRank	identifiedBy	dateIdentified	identificationReferences	identificationRemarks	taxonRemarks	identificationQualifier	typeStatus	recordedBy	associatedCollectors	recordNumber	eventDate	year	month	day	startDayOfYear	endDayOfYear	verbatimEventDate	occurrenceRemarks	habitat	substrate	verbatimAttributes	fieldNumber	eventID	informationWithheld	dataGeneralizations	dynamicProperties	associatedOccurrences	associatedSequences	associatedTaxa	reproductiveCondition	establishmentMeans	cultivationStatus	lifeStage	sex	individualCount	preparations	country	stateProvince	county	municipality	locality	locationRemarks	localitySecurity	localitySecurityReason	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	verbatimCoordinates	georeferencedBy	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	verbatimElevation	disposition	language	recordEnteredBy	modified	sourcePrimaryKey-dbpk	collID	recordID	references
427892	SBMNH	SBMNHENT		PreservedSpecimen	e535c7ea-a5a2-440e-9162-2381bdc75f4e	SBMNHENT0003408		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Platynini|Platynina|Tanystoma	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Tanystoma maculicolle	335746	(Dejean, 1828)	Tanystoma		maculicolle			Species	David Kavanaugh							S.E. Miller			1976-04-22	1976	4	22	113		1976-4-22																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; Santa Rosa Island, Arlington Canyon		0		33.9835	-120.1533																		2018-10-17 07:44:00	19887548	7	urn:uuid:4cae2c2e-ba4d-4afd-a353-644b0d534512	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427892
427893	SBMNH	SBMNHENT		PreservedSpecimen	3ff2bcac-bb94-44f7-bdff-9b51b198163a	SBMNHENT0003409		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Platynini|Platynina|Tanystoma	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Tanystoma maculicolle	335746	(Dejean, 1828)	Tanystoma		maculicolle			Species	David Kavanaugh							P.W. Collins &W.G. Abbott			1976-02-24	1976	2	24	55		1976-2-24																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; Santa Rosa Island, Ranch, Beecher's Bay		0		34.0079	-120.0487																		2018-10-17 07:44:00	19887549	7	urn:uuid:7915e78b-1391-43e3-a723-01cf5080d576	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427893
427894	SBMNH	SBMNHENT		PreservedSpecimen	3e82a478-4127-4844-9575-e7cf508580c6	SBMNHENT0003410		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Platynini|Platynina|Tanystoma	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Tanystoma maculicolle	335746	(Dejean, 1828)	Tanystoma		maculicolle			Species	David Kavanaugh							P. Orr			1961-12-01	1961	12	1	335		1961-12-1																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; Santa Rosa Island		0		34.0079	-120.0487																		2018-10-17 07:44:00	19887550	7	urn:uuid:3bd80a2f-330b-45df-a2e7-d07f3d813612	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427894
427895	SBMNH	SBMNHENT		PreservedSpecimen	34cdac3d-0b78-4a3f-b7a5-ebee586c1a20	SBMNHENT0003411		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Platynini|Platynina|Tanystoma	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Tanystoma maculicolle	335746	(Dejean, 1828)	Tanystoma		maculicolle			Species	Michael Caterino							S.E. Miller			1978-05-13	1978	5	13	133		1978-5-13																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; Santa Rosa Island, Lobo Canyon		0		34.0042	-120.0917									3					10ft				2018-10-17 07:44:00	19887551	7	urn:uuid:103f813b-f2fa-4995-b35a-e9a6f37dbb88	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427895
427896	SBMNH	SBMNHENT		PreservedSpecimen	6585a6cc-7541-44fb-a0d1-0fe4bfe1dd85	SBMNHENT0003412		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Platynini|Platynina|Tanystoma	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Tanystoma maculicolle	335746	(Dejean, 1828)	Tanystoma		maculicolle			Species	David Kavanaugh							Scott E. Miller			1976-04-21	1976	4	21	112		1976-4-21																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; Santa Rosa Island, Ranch, Beecher's Bay		0		34.0079	-120.0487																		2018-10-17 07:44:00	19887552	7	urn:uuid:03c19910-4c23-46c8-ab14-009f3f0620bd	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427896
427897	SBMNH	SBMNHENT		PreservedSpecimen	f1cb535e-bcec-40f9-b007-e7caac4471d5	SBMNHENT0003413		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Platynini|Platynina|Tanystoma	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Tanystoma maculicolle	335746	(Dejean, 1828)	Tanystoma		maculicolle			Species	David Kavanaugh							P.W. Collins &W.G. Abbott			1976-02-24	1976	2	24	55		1976-2-24																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; Santa Rosa Island, Ranch, Beecher's Bay		0		34.0079	-120.0487																		2018-10-17 07:44:00	19887553	7	urn:uuid:76c4ed32-cfe9-40d0-976a-093ea40e0cd8	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427897
427898	SBMNH	SBMNHENT		PreservedSpecimen	44829874-5fa6-4e68-901f-2443da773517	SBMNHENT0003414		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Platynini|Platynina|Tanystoma	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Tanystoma maculicolle	335746	(Dejean, 1828)	Tanystoma		maculicolle			Species	David Kavanaugh							Scott E. Miller			1976-04-21	1976	4	21	112		1976-4-21																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; Santa Rosa Island, Ranch, Beecher's Bay		0		34.0079	-120.0487																		2018-10-17 07:44:00	19887554	7	urn:uuid:bc79cbc7-cd17-4bb2-86d8-3ee7c6d379f1	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427898
427899	SBMNH	SBMNHENT		PreservedSpecimen	aabe416b-4142-4abf-a470-7968ee98e7f7	SBMNHENT0003415		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Platynini|Platynina|Tanystoma	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Tanystoma maculicolle	335746	(Dejean, 1828)	Tanystoma		maculicolle			Species	David Kavanaugh							P.W. Collins & W.G. Abbott			1976-02-28	1976	2	28	59		1976-2-28																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; Santa Rosa Island, Arlington Canyon		0		33.9835	-120.1533																		2018-10-17 07:44:00	19887555	7	urn:uuid:55f9e382-c3fe-4a10-9deb-778251fc93fa	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427899
427900	SBMNH	SBMNHENT		PreservedSpecimen	6f8c621d-690f-4617-b908-da13d1bdf4c4	SBMNHENT0003416		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Platynini|Platynina|Tanystoma	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Tanystoma maculicolle	335746	(Dejean, 1828)	Tanystoma		maculicolle			Species	Michael Caterino							P.W. Collins &W.G. Abbott			1976-02-24	1976	2	24	55		1976-2-24																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; Santa Rosa Island, Ranch, Beecher's Bay		0		34.0079	-120.0487																		2018-10-17 07:44:00	19887556	7	urn:uuid:4af7d40a-d55a-4b9e-9b04-4950c46c07fc	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427900
427901	SBMNH	SBMNHENT		PreservedSpecimen	9df657fa-ea6c-41c8-bafc-1b1ed82c96c5	SBMNHENT0003417		Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Coleoptera|Adephaga|Carabidae|Platyninae|Platynini|Platynina|Tanystoma	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Tanystoma maculicolle	335746	(Dejean, 1828)	Tanystoma		maculicolle			Species	David Kavanaugh							S.E. Miller			1976-04-22	1976	4	22	113		1976-4-22																	unknown	1	Pinned	United States	California	Santa Barbara County		Channel Islands National Park; Santa Rosa Island, Arlington Canyon		0		33.9835	-120.1533																		2018-10-17 07:44:00	19887557	7	urn:uuid:8d0c7457-821e-4832-8494-8fbb5599134a	https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=427901
